zip,houseprice,ces,county,pctbytransit,crime,testscore
94520,464541,29.50125,Contra Costa County,0.103290324,336.5,2413.204545
94521,607883,16.72444444,Contra Costa County,0.103290324,336.5,2481.280769
94523,710425,9.14,Contra Costa County,0.103290324,336.5,2507.07963
94526,1235882,4.7425,Contra Costa County,0.103290324,336.5,2561.5375
94530,838770,12.86090909,Contra Costa County,0.103290324,336.5,2507.197727
94531,534757,17.64,Contra Costa County,0.103290324,336.5,2449.152
94533,401926,26.755,Solano County,0.028235294,483,2452.2
94536,1047990,19.10166667,Alameda County,0.142358002,601.1,2544.35
94538,990512,22.06538462,Alameda County,0.142358002,601.1,2534.610784
94539,1554233,11.65818182,Alameda County,0.142358002,601.1,2606.477778
94541,641078,26.60416667,Alameda County,0.142358002,601.1,2447.62381
94542,900571,25.16,Alameda County,0.142358002,601.1,2482.54
94544,645755,28.923125,Alameda County,0.142358002,601.1,2439.590323
94545,700681,32.98,Alameda County,0.142358002,601.1,2497.8
94546,788988,16.573,Alameda County,0.142358002,601.1,2510.430303
94547,649427,17.706,Contra Costa County,0.103290324,336.5,2488.876923
94549,1250626,4,Contra Costa County,0.103290324,336.5,2573.40625
94550,845490,15.78083333,Alameda County,0.142358002,601.1,2530.155357
94551,736656,16.82142857,Alameda County,0.142358002,601.1,2493.510417
94552,1042881,9.715,Alameda County,0.142358002,601.1,2542.016667
94553,603616,21.87538462,Contra Costa County,0.103290324,336.5,2485.931818
94555,1126029,15.235,Alameda County,0.142358002,601.1,2572.945833
94556,1277820,1.656666667,Contra Costa County,0.103290324,336.5,2578.138462
94560,937383,25.98555556,Alameda County,0.142358002,601.1,2481.927273
94561,554821,30.655,Contra Costa County,0.103290324,336.5,2468.358065
94563,1785392,3.994,Contra Costa County,0.103290324,336.5,2584.03125
94565,433488,38.52571429,Contra Costa County,0.103290324,336.5,2438.114423
94566,1233519,11.88142857,Alameda County,0.142358002,601.1,2562.083333
94568,944477,15.07285714,Alameda County,0.142358002,601.1,2561.41
94572,480564,43.46,Contra Costa County,0.103290324,336.5,2422.116667
94577,677616,29.84555556,Alameda County,0.142358002,601.1,2465.531818
94578,640391,30.77666667,Alameda County,0.142358002,601.1,2422.805556
94579,682425,28.4475,Alameda County,0.142358002,601.1,2467.303846
94580,657198,25.22833333,Alameda County,0.142358002,601.1,2482.504
94582,1291138,4.476666667,Contra Costa County,0.103290324,336.5,2579.655769
94583,1245632,8.297142857,Contra Costa County,0.103290324,336.5,2554.898
94587,905003,24.490625,Alameda County,0.142358002,601.1,2507.451515
94588,1031243,15.54375,Alameda County,0.142358002,601.1,2567.915625
94589,405804,29.32,Solano County,0.028235294,483,2386.1
94591,485012,19.86230769,Solano County,0.028235294,483,2438.4
94592,603497,45.15,Solano County,0.028235294,483,2504
94595,1144959,7.66,Contra Costa County,0.103290324,336.5,2560.85
94596,971307,14.04,Contra Costa County,0.103290324,336.5,2541.142857
94597,907194,10.92,Contra Costa County,0.103290324,336.5,2558.75
94598,885780,6.777142857,Contra Costa County,0.103290324,336.5,2537.098
94601,563066,37.39,Alameda County,0.142358002,601.1,2454.15082
94602,929900,18.95125,Alameda County,0.142358002,601.1,2451.7375
94603,477791,41.62857143,Alameda County,0.142358002,601.1,2438.46875
94605,651068,24.859,Alameda County,0.142358002,601.1,2447.957778
94606,680291,31.86272727,Alameda County,0.142358002,601.1,2469.396552
94607,683565,43.19545455,Alameda County,0.142358002,601.1,2477.808824
94608,720980,36.998,Alameda County,0.142358002,601.1,2494.759375
94609,1085292,21.99333333,Alameda County,0.142358002,601.1,2424.368182
94610,1241667,14.07888889,Alameda County,0.142358002,601.1,2505.285714
94611,1304415,7.520909091,Alameda County,0.142358002,601.1,2538.796667
94612,700985,33.76,Alameda County,0.142358002,601.1,2516.43125
94618,1522122,6.153333333,Alameda County,0.142358002,601.1,2558.5
94619,777521,14.565,Alameda County,0.142358002,601.1,2448.906667
94621,441790,45.22285714,Alameda County,0.142358002,601.1,2429.101042
94702,1000277,24.218,Alameda County,0.142358002,601.1,2529.516667
94703,1203846,16.15571429,Alameda County,0.142358002,601.1,2541.905556
94704,1148406,16.535,Alameda County,0.142358002,601.1,2538.6
94705,1712518,9.57,Alameda County,0.142358002,601.1,2528.325
94706,1040590,8.946,Alameda County,0.142358002,601.1,2560.45
94707,1532561,2.845,Alameda County,0.142358002,601.1,2489.4
94708,1477574,2.2775,Alameda County,0.142358002,601.1,2528.521429
